"acquisition_channel";"days_since_registration";"retention"
ads;0;21.600
ads;1;23.200
ads;2;25.600
ads;3;21.600
ads;4;28.000
ads;5;20.800
ads;6;30.400
ads;7;10.400
ads;8;9.600
ads;9;10.400
ads;10;8.800
ads;11;12.000
ads;12;12.800
ads;13;10.400
ads;14;2.400
ads;15;2.400
ads;16;4.000
ads;17;3.200
ads;18;4.000
ads;19;2.400
ads;20;5.600
ads;21;4.000
ads;22;4.000
ads;23;5.600
ads;24;1.600
ads;25;4.000
ads;26;3.200
ads;27;4.800
ads;28;3.200
ads;29;7.200
ads;0;18.462
ads;1;24.615
ads;2;20.000
ads;3;27.692
ads;4;25.385
ads;5;22.308
ads;6;26.154
ads;7;15.385
ads;8;9.231
ads;9;12.308
ads;10;12.308
ads;11;15.385
ads;12;13.846
ads;13;7.692
ads;14;5.385
ads;15;3.077
ads;16;4.615
ads;17;6.923
ads;18;3.077
ads;19;4.615
ads;20;3.846
ads;21;3.846
ads;22;6.154
ads;23;6.154
ads;24;4.615
ads;25;2.308
ads;26;4.615
ads;27;4.615
ads;28;5.385
ads;29;3.077
ads;0;20.548
ads;1;23.288
ads;2;30.822
ads;3;26.712
ads;4;25.342
ads;5;20.548
ads;6;23.288
ads;7;5.479
ads;8;8.904
ads;9;9.589
ads;10;8.219
ads;11;10.274
ads;12;8.904
ads;13;10.274
ads;14;3.425
ads;15;3.425
ads;16;2.740
ads;17;1.370
ads;18;2.740
ads;19;3.425
ads;20;2.740
ads;21;2.740
ads;22;3.425
ads;23;1.370
ads;24;2.055
ads;25;4.110
ads;26;4.110
ads;27;2.055
ads;28;5.479
ads;29;4.795
ads;0;29.371
ads;1;20.979
ads;2;31.469
ads;3;24.476
ads;4;25.874
ads;5;23.776
ads;6;26.573
ads;7;15.385
ads;8;9.790
ads;9;13.986
ads;10;11.888
ads;11;14.685
ads;12;16.084
ads;13;13.287
ads;14;3.497
ads;15;4.895
ads;16;7.692
ads;17;4.895
ads;18;5.594
ads;19;3.497
ads;20;3.497
ads;21;5.594
ads;22;4.196
ads;23;7.692
ads;24;3.497
ads;25;3.497
ads;26;5.594
ads;27;3.497
ads;28;4.895
ads;29;6.294
ads;0;27.778
ads;1;20.139
ads;2;29.167
ads;3;23.611
ads;4;25.694
ads;5;25.000
ads;6;22.222
ads;7;9.028
ads;8;14.583
ads;9;10.417
ads;10;8.333
ads;11;11.806
ads;12;11.111
ads;13;11.806
ads;14;2.778
ads;15;4.167
ads;16;4.167
ads;17;4.861
ads;18;3.472
ads;19;7.639
ads;20;4.861
ads;21;6.944
ads;22;4.861
ads;23;5.556
ads;24;4.861
ads;25;3.472
ads;26;2.778
ads;27;4.861
ads;28;2.778
ads;29;3.472
ads;0;17.483
ads;1;23.776
ads;2;24.476
ads;3;23.077
ads;4;20.979
ads;5;21.678
ads;6;23.077
ads;7;11.888
ads;8;13.287
ads;9;9.091
ads;10;11.189
ads;11;9.790
ads;12;8.392
ads;13;13.287
ads;14;2.098
ads;15;3.497
ads;16;1.399
ads;17;4.196
ads;18;5.594
ads;19;4.196
ads;20;4.196
ads;21;3.497
ads;22;1.399
ads;23;4.196
ads;24;6.993
ads;25;0.699
ads;26;2.098
ads;27;5.594
ads;28;6.993
ads;29;5.594
ads;0;19.841
ads;1;22.222
ads;2;24.603
ads;3;19.048
ads;4;24.603
ads;5;25.397
ads;6;25.397
ads;7;11.905
ads;8;10.317
ads;9;13.492
ads;10;11.111
ads;11;14.286
ads;12;11.905
ads;13;11.905
ads;14;3.968
ads;15;3.968
ads;16;2.381
ads;17;3.968
ads;18;4.762
ads;19;4.762
ads;20;1.587
ads;21;3.175
ads;22;7.143
ads;23;2.381
ads;24;3.175
ads;25;4.762
ads;26;3.175
ads;27;4.762
ads;28;5.556
ads;29;3.968
ads;0;27.007
ads;1;27.737
ads;2;27.737
ads;3;24.818
ads;4;26.277
ads;5;24.088
ads;6;24.818
ads;7;10.219
ads;8;10.219
ads;9;11.679
ads;10;10.949
ads;11;9.489
ads;12;7.299
ads;13;13.869
ads;14;2.920
ads;15;2.920
ads;16;4.380
ads;17;2.920
ads;18;2.920
ads;19;1.460
ads;20;2.190
ads;21;1.460
ads;22;2.920
ads;23;2.190
ads;24;5.109
ads;25;5.109
ads;26;2.920
ads;27;2.190
ads;28;5.109
ads;29;2.190
ads;0;21.898
ads;1;28.467
ads;2;25.547
ads;3;23.358
ads;4;21.168
ads;5;32.847
ads;6;30.657
ads;7;11.679
ads;8;13.869
ads;9;13.869
ads;10;10.219
ads;11;16.058
ads;12;14.599
ads;13;16.058
ads;14;2.920
ads;15;2.190
ads;16;5.839
ads;17;5.109
ads;18;5.109
ads;19;3.650
ads;20;2.920
ads;21;6.569
ads;22;3.650
ads;23;4.380
ads;24;5.109
ads;25;2.920
ads;26;6.569
ads;27;2.920
ads;28;2.920
ads;29;3.650
ads;0;20.979
ads;1;25.175
ads;2;29.371
ads;3;30.769
ads;4;27.273
ads;5;22.378
ads;6;25.175
ads;7;12.587
ads;8;8.392
ads;9;14.685
ads;10;13.287
ads;11;9.790
ads;12;12.587
ads;13;13.287
ads;14;4.196
ads;15;3.497
ads;16;2.797
ads;17;4.196
ads;18;3.497
ads;19;4.196
ads;20;2.797
ads;21;4.895
ads;22;5.594
ads;23;2.797
ads;24;5.594
ads;25;5.594
ads;26;3.497
ads;27;4.196
ads;28;4.196
ads;29;3.497
ads;0;26.271
ads;1;20.339
ads;2;17.797
ads;3;27.119
ads;4;19.492
ads;5;23.729
ads;6;27.966
ads;7;7.627
ads;8;14.407
ads;9;6.780
ads;10;14.407
ads;11;16.102
ads;12;12.712
ads;13;10.169
ads;14;5.085
ads;15;6.780
ads;16;5.932
ads;17;6.780
ads;18;2.542
ads;19;5.085
ads;20;4.237
ads;21;5.932
ads;22;2.542
ads;23;5.085
ads;24;7.627
ads;25;5.085
ads;26;5.932
ads;27;6.780
ads;28;6.780
ads;29;5.932
ads;0;26.613
ads;1;20.161
ads;2;33.065
ads;3;20.968
ads;4;20.968
ads;5;22.581
ads;6;25.806
ads;7;11.290
ads;8;9.677
ads;9;8.065
ads;10;12.903
ads;11;8.065
ads;12;8.871
ads;13;5.645
ads;14;4.032
ads;15;2.419
ads;16;3.226
ads;17;4.032
ads;18;2.419
ads;19;4.032
ads;20;4.839
ads;21;4.032
ads;22;3.226
ads;23;1.613
ads;24;2.419
ads;25;1.613
ads;26;0.806
ads;27;3.226
ads;28;3.226
ads;29;2.419
ads;0;20.253
ads;1;24.051
ads;2;28.481
ads;3;22.152
ads;4;22.152
ads;5;24.051
ads;6;24.051
